frame_number,video_time_sec,people_count_in_main_and_count,people_count_only_in_count,total_people_in_count_zone
1,0.042,0,0,0
2,0.083,0,0,0
3,0.125,0,0,0
4,0.167,0,0,0
5,0.209,0,0,0
6,0.25,0,0,0
7,0.292,0,0,0
8,0.334,0,0,0
9,0.375,0,0,0
10,0.417,0,0,0
11,0.459,0,0,0
12,0.5,0,0,0
13,0.542,0,0,0
14,0.584,0,0,0
15,0.626,0,0,0
16,0.667,0,0,0
17,0.709,0,0,0
18,0.751,0,0,0
19,0.792,0,0,0
20,0.834,0,0,0
21,0.876,0,0,0
22,0.917,0,0,0
23,0.959,0,0,0
24,1.001,0,0,0
25,1.043,0,0,0
26,1.084,0,0,0
27,1.126,0,0,0
28,1.168,0,0,0
29,1.209,0,0,0
30,1.251,0,0,0
31,1.293,0,0,0
32,1.334,0,0,0
33,1.376,0,0,0
34,1.418,0,0,0
35,1.46,0,0,0
36,1.501,0,0,0
37,1.543,0,0,0
38,1.585,0,0,0
39,1.626,0,0,0
40,1.668,0,0,0
41,1.71,0,0,0
42,1.751,0,0,0
43,1.793,0,0,0
44,1.835,0,1,1
45,1.877,0,1,1
46,1.918,0,1,1
47,1.96,0,1,1
48,2.002,0,1,1
49,2.043,0,1,1
50,2.085,0,1,1
51,2.127,0,1,1
52,2.168,0,1,1
53,2.21,0,1,1
54,2.252,0,1,1
55,2.294,0,1,1
56,2.335,0,1,1
57,2.377,0,1,1
58,2.419,0,1,1
59,2.46,0,1,1
60,2.502,0,1,1
61,2.544,0,1,1
62,2.585,0,1,1
63,2.627,0,1,1
64,2.669,0,1,1
65,2.711,0,1,1
66,2.752,0,1,1
67,2.794,0,1,1
68,2.836,0,0,0
69,2.877,0,0,0
70,2.919,0,0,0
71,2.961,0,0,0
72,3.002,0,0,0
73,3.044,0,0,0
74,3.086,0,0,0
75,3.128,0,0,0
76,3.169,0,0,0
77,3.211,0,0,0
78,3.253,0,0,0
79,3.294,0,0,0
80,3.336,0,0,0
81,3.378,0,0,0
82,3.42,0,0,0
83,3.461,0,0,0
84,3.503,0,0,0
85,3.545,0,0,0
86,3.586,0,0,0
87,3.628,0,0,0
88,3.67,0,0,0
89,3.711,0,0,0
90,3.753,0,0,0
91,3.795,0,0,0
92,3.837,0,0,0
93,3.878,0,0,0
94,3.92,0,0,0
95,3.962,0,0,0
96,4.003,0,0,0
97,4.045,0,0,0
98,4.087,0,0,0
99,4.128,0,0,0
100,4.17,0,0,0
101,4.212,0,0,0
102,4.254,0,0,0
103,4.295,0,0,0
104,4.337,0,0,0
105,4.379,0,0,0
106,4.42,0,0,0
107,4.462,0,0,0
108,4.504,0,1,1
109,4.545,0,1,1
110,4.587,0,1,1
111,4.629,0,1,1
112,4.671,0,1,1
113,4.712,0,1,1
114,4.754,0,1,1
115,4.796,0,1,1
116,4.837,1,1,2
117,4.879,1,1,2
118,4.921,1,1,2
119,4.962,1,1,2
120,5.004,0,0,0
121,5.046,0,0,0
122,5.088,0,1,1
123,5.129,0,1,1
124,5.171,1,1,2
125,5.213,1,1,2
126,5.254,1,1,2
127,5.296,1,1,2
128,5.338,1,1,2
129,5.379,1,1,2
130,5.421,1,1,2
131,5.463,1,1,2
132,5.505,1,1,2
133,5.546,1,1,2
134,5.588,1,1,2
135,5.63,1,1,2
136,5.671,1,1,2
137,5.713,1,1,2
138,5.755,1,1,2
139,5.796,1,1,2
140,5.838,1,1,2
141,5.88,1,1,2
142,5.922,1,1,2
143,5.963,1,1,2
144,6.005,1,1,2
145,6.047,1,1,2
146,6.088,1,1,2
147,6.13,1,1,2
148,6.172,1,1,2
149,6.213,1,1,2
150,6.255,0,0,0
151,6.297,0,0,0
152,6.339,1,0,1
153,6.38,1,0,1
154,6.422,1,0,1
155,6.464,1,0,1
156,6.505,2,0,2
157,6.547,2,0,2
158,6.589,2,0,2
159,6.63,2,0,2
160,6.672,2,0,2
161,6.714,2,0,2
162,6.756,2,0,2
163,6.797,2,0,2
164,6.839,2,1,3
165,6.881,2,1,3
166,6.922,0,2,2
167,6.964,0,2,2
168,7.006,1,2,3
169,7.048,1,2,3
170,7.089,0,2,2
171,7.131,0,2,2
172,7.173,0,2,2
173,7.214,0,2,2
174,7.256,0,2,2
175,7.298,0,2,2
176,7.339,0,2,2
177,7.381,0,2,2
178,7.423,0,2,2
179,7.465,0,2,2
180,7.506,0,1,1
181,7.548,0,1,1
182,7.59,0,1,1
183,7.631,0,1,1
184,7.673,0,1,1
185,7.715,0,1,1
186,7.756,0,1,1
187,7.798,0,1,1
188,7.84,0,1,1
189,7.882,0,1,1
190,7.923,1,1,2
191,7.965,1,1,2
192,8.007,1,1,2
193,8.048,1,1,2
194,8.09,0,1,1
195,8.132,0,1,1
196,8.173,2,1,3
197,8.215,2,1,3
198,8.257,2,1,3
199,8.299,2,1,3
200,8.34,2,1,3
201,8.382,2,1,3
202,8.424,1,1,2
203,8.465,1,1,2
204,8.507,1,1,2
205,8.549,1,1,2
206,8.59,1,2,3
207,8.632,1,2,3
208,8.674,2,2,4
209,8.716,2,2,4
210,8.757,1,1,2
211,8.799,1,1,2
212,8.841,1,1,2
213,8.882,1,1,2
214,8.924,1,1,2
215,8.966,1,1,2
216,9.007,0,1,1
217,9.049,0,1,1
218,9.091,0,1,1
219,9.133,0,1,1
220,9.174,1,1,2
221,9.216,1,1,2
222,9.258,2,1,3
223,9.299,2,1,3
224,9.341,1,1,2
225,9.383,1,1,2
226,9.424,1,1,2
227,9.466,1,1,2
228,9.508,1,1,2
229,9.55,1,1,2
230,9.591,0,1,1
231,9.633,0,1,1
232,9.675,1,1,2
233,9.716,1,1,2
234,9.758,1,2,3
235,9.8,1,2,3
236,9.841,1,2,3
237,9.883,1,2,3
238,9.925,1,2,3
239,9.967,1,2,3
240,10.008,1,2,3
241,10.05,1,2,3
242,10.092,1,2,3
243,10.133,1,2,3
244,10.175,1,2,3
245,10.217,1,2,3
246,10.259,1,2,3
247,10.3,1,2,3
248,10.342,1,2,3
249,10.384,1,2,3
250,10.425,0,1,1
251,10.467,0,1,1
252,10.509,0,1,1
253,10.55,0,1,1
254,10.592,0,0,0
255,10.634,0,0,0
256,10.676,0,1,1
257,10.717,0,1,1
258,10.759,0,1,1
259,10.801,0,1,1
260,10.842,0,1,1
261,10.884,0,1,1
262,10.926,0,1,1
263,10.967,0,1,1
264,11.009,0,1,1
265,11.051,0,1,1
266,11.093,0,1,1
267,11.134,0,1,1
268,11.176,0,1,1
269,11.218,0,1,1
270,11.259,0,1,1
271,11.301,0,1,1
272,11.343,0,1,1
273,11.384,0,1,1
274,11.426,0,1,1
275,11.468,0,1,1
276,11.51,0,1,1
277,11.551,0,1,1
278,11.593,0,1,1
279,11.635,0,1,1
280,11.676,0,1,1
281,11.718,0,1,1
282,11.76,0,1,1
283,11.801,0,1,1
284,11.843,1,1,2
285,11.885,1,1,2
286,11.927,1,1,2
287,11.968,1,1,2
288,12.01,1,1,2
289,12.052,1,1,2
290,12.093,1,1,2
291,12.135,1,1,2
292,12.177,2,1,3
293,12.218,2,1,3
294,12.26,1,1,2
295,12.302,1,1,2
296,12.344,1,1,2
297,12.385,1,1,2
298,12.427,0,0,0
299,12.469,0,0,0
300,12.51,0,0,0
301,12.552,0,0,0
302,12.594,1,0,1
303,12.635,1,0,1
304,12.677,1,0,1
305,12.719,1,0,1
306,12.761,1,1,2
307,12.802,1,1,2
308,12.844,1,0,1
309,12.886,1,0,1
310,12.927,0,2,2
311,12.969,0,2,2
312,13.011,0,2,2
313,13.052,0,2,2
314,13.094,0,1,1
315,13.136,0,1,1
316,13.178,0,1,1
317,13.219,0,1,1
318,13.261,0,1,1
319,13.303,0,1,1
320,13.344,1,1,2
321,13.386,1,1,2
322,13.428,0,1,1
323,13.469,0,1,1
324,13.511,0,1,1
325,13.553,0,1,1
326,13.595,0,1,1
327,13.636,0,1,1
328,13.678,0,1,1
329,13.72,0,1,1
330,13.761,0,1,1
331,13.803,0,1,1
332,13.845,1,2,3
333,13.887,1,2,3
334,13.928,3,2,5
335,13.97,3,2,5
336,14.012,2,2,4
337,14.053,2,2,4
338,14.095,2,2,4
339,14.137,2,2,4
340,14.178,2,2,4
341,14.22,2,2,4
342,14.262,2,2,4
343,14.304,2,2,4
344,14.345,2,2,4
345,14.387,1,1,2
346,14.429,1,1,2
347,14.47,1,1,2
348,14.512,0,1,1
349,14.554,0,1,1
350,14.595,0,1,1
351,14.637,0,1,1
352,14.679,1,1,2
353,14.721,1,1,2
354,14.762,2,1,3
355,14.804,2,1,3
356,14.846,2,1,3
357,14.887,2,1,3
358,14.929,2,1,3
359,14.971,2,1,3
360,15.012,1,0,1
361,15.054,1,0,1
362,15.096,2,0,2
363,15.138,2,0,2
364,15.179,1,1,2
365,15.221,1,1,2
366,15.263,1,1,2
367,15.304,1,1,2
368,15.346,1,1,2
369,15.388,1,1,2
370,15.429,1,2,3
371,15.471,1,2,3
372,15.513,2,2,4
373,15.555,2,2,4
374,15.596,2,3,5
375,15.638,2,3,5
376,15.68,2,3,5
377,15.721,2,3,5
378,15.763,3,3,6
379,15.805,3,3,6
380,15.846,3,3,6
381,15.888,3,3,6
382,15.93,3,3,6
383,15.972,3,3,6
384,16.013,3,3,6
385,16.055,3,3,6
386,16.097,2,3,5
387,16.138,2,3,5
388,16.18,2,3,5
389,16.222,2,3,5
390,16.263,2,3,5
391,16.305,2,3,5
392,16.347,2,3,5
393,16.389,2,3,5
394,16.43,2,3,5
395,16.472,2,3,5
396,16.514,2,3,5
397,16.555,2,3,5
398,16.597,2,2,4
399,16.639,2,2,4
400,16.68,2,2,4
401,16.722,2,2,4
402,16.764,2,2,4
403,16.806,2,2,4
404,16.847,3,2,5
405,16.889,2,2,4
406,16.931,1,1,2
407,16.972,1,1,2
408,17.014,1,1,2
409,17.056,1,1,2
410,17.098,1,1,2
411,17.139,1,1,2
412,17.181,1,1,2
413,17.223,1,1,2
414,17.264,1,1,2
415,17.306,1,1,2
416,17.348,1,2,3
417,17.389,1,2,3
418,17.431,1,2,3
419,17.473,1,2,3
420,17.515,1,2,3
421,17.556,1,2,3
422,17.598,1,2,3
423,17.64,1,2,3
424,17.681,2,2,4
425,17.723,2,2,4
426,17.765,2,2,4
427,17.806,2,2,4
428,17.848,1,2,3
429,17.89,1,2,3
430,17.932,1,2,3
431,17.973,1,2,3
432,18.015,2,2,4
433,18.057,2,2,4
434,18.098,2,2,4
