frame_number,frame_start_crossings,frame_end_crossings,total_start_crossings,total_end_crossings,people_in_polygon,video_time_sec
1,0,0,0,0,0,0.042
2,0,0,0,0,0,0.083
3,0,0,0,0,0,0.125
4,0,0,0,0,0,0.167
5,0,0,0,0,0,0.209
6,0,0,0,0,0,0.25
7,0,0,0,0,0,0.292
8,0,0,0,0,0,0.334
9,0,0,0,0,0,0.375
10,0,0,0,0,0,0.417
11,0,0,0,0,0,0.459
12,0,0,0,0,0,0.5
13,0,0,0,0,0,0.542
14,0,0,0,0,0,0.584
15,0,0,0,0,0,0.626
16,0,0,0,0,1,0.667
17,0,0,0,0,1,0.709
18,0,0,0,0,1,0.751
19,0,0,0,0,1,0.792
20,0,0,0,0,1,0.834
21,0,0,0,0,1,0.876
22,0,0,0,0,1,0.917
23,0,0,0,0,1,0.959
24,0,0,0,0,1,1.001
25,0,0,0,0,1,1.043
26,0,0,0,0,1,1.084
27,0,0,0,0,1,1.126
28,0,0,0,0,1,1.168
29,0,0,0,0,1,1.209
30,0,0,0,0,0,1.251
31,0,0,0,0,0,1.293
32,0,0,0,0,0,1.334
33,0,0,0,0,0,1.376
34,0,0,0,0,0,1.418
35,0,0,0,0,0,1.46
36,0,0,0,0,0,1.501
37,0,0,0,0,0,1.543
38,0,0,0,0,0,1.585
39,0,0,0,0,0,1.626
40,0,0,0,0,0,1.668
41,0,0,0,0,0,1.71
42,0,0,0,0,0,1.751
43,0,0,0,0,0,1.793
44,0,0,0,0,0,1.835
45,0,0,0,0,0,1.877
46,0,0,0,0,0,1.918
47,0,0,0,0,0,1.96
48,0,0,0,0,0,2.002
49,0,0,0,0,0,2.043
50,0,0,0,0,0,2.085
51,0,0,0,0,0,2.127
52,0,0,0,0,0,2.168
53,0,0,0,0,0,2.21
54,0,0,0,0,0,2.252
55,0,0,0,0,0,2.294
56,0,0,0,0,0,2.335
57,0,0,0,0,0,2.377
58,0,0,0,0,0,2.419
59,0,0,0,0,0,2.46
60,0,0,0,0,0,2.502
61,0,0,0,0,0,2.544
62,0,0,0,0,0,2.585
63,0,0,0,0,0,2.627
64,0,0,0,0,0,2.669
65,0,0,0,0,0,2.711
66,0,0,0,0,0,2.752
67,0,0,0,0,0,2.794
68,0,0,0,0,0,2.836
69,0,0,0,0,0,2.877
70,0,0,0,0,0,2.919
71,0,0,0,0,0,2.961
72,0,0,0,0,0,3.002
73,0,0,0,0,0,3.044
74,0,0,0,0,0,3.086
75,0,0,0,0,0,3.128
76,0,0,0,0,0,3.169
77,0,0,0,0,0,3.211
78,0,0,0,0,0,3.253
79,0,0,0,0,0,3.294
80,0,0,0,0,0,3.336
81,0,0,0,0,0,3.378
82,0,0,0,0,0,3.42
83,0,0,0,0,0,3.461
