trajectory_id,zone_type,starting_frame,ending_frame,distance_pixels,distance_meters,duration_frames,duration_seconds,average_speed_mps,direction,total_points,start_x,start_y,end_x,end_y,calculation_method
2,main_polygon,16,29,41.26,6993.3683,13,0.542,12900.134,Right,14,463,179,497,160,pedpy
2,count_zone_only,44,67,65.44,11091.569,23,0.959,11564.22,Right,22,549,151,600,132,pedpy
5,count_zone_only,108,253,568.64,96384.1143,145,6.047,15940.012,Right,42,186,376,686,301,pedpy
5,main_polygon,116,227,593.38,100578.6457,111,4.629,21728.712,Right,82,198,396,535,319,pedpy
4,main_polygon,156,421,320.82,54378.9591,265,11.051,4920.806,Right,38,243,292,503,166,pedpy
8,count_zone_only,164,315,574.83,97433.0204,151,6.297,15473.21,Left,38,660,250,180,415,pedpy
8,main_polygon,196,309,430.47,72964.0937,113,4.712,15483.956,Left,44,517,238,194,416,pedpy
9,count_zone_only,206,231,211.69,35882.1788,25,1.043,34418.345,Left,26,638,234,526,247,pedpy
9,main_polygon,232,341,418.07,70862.7162,109,4.545,15589.87,Left,40,515,252,189,436,pedpy
13,count_zone_only,256,397,528.42,89566.4452,141,5.88,15232.718,Left,46,629,233,166,430,pedpy
13,main_polygon,284,379,347.0,58816.335,95,3.962,14846.55,Left,30,530,287,220,385,pedpy
7,count_zone_only,306,333,26.17,4436.1087,27,1.126,3939.94,Right,22,208,309,224,307,pedpy
21,count_zone_only,332,351,92.86,15739.1262,19,0.792,19864.526,Down,6,231,284,274,362,pedpy
7,main_polygon,334,355,26.11,4425.6106,21,0.876,5053.649,Right,12,233,306,248,302,pedpy
21,main_polygon,334,345,17.58,2980.3972,11,0.459,6497.296,Right,6,232,297,239,294,pedpy
20,main_polygon,354,399,61.74,10464.204,45,1.877,5576.284,Right,46,244,277,263,270,pedpy
19,count_zone_only,370,403,148.23,25125.1599,33,1.376,18257.701,Left,34,653,244,535,299,pedpy
17,count_zone_only,374,453,103.95,17619.1116,79,3.294,5348.206,Right,14,208,336,305,330,pedpy
17,main_polygon,378,461,171.44,29059.8388,83,3.461,8395.881,Right,74,217,337,326,282,pedpy
23,main_polygon,402,413,18.39,3117.3698,11,0.459,6795.898,Right,6,257,261,273,265,pedpy
19,main_polygon,404,423,85.25,14449.3327,19,0.792,18236.663,Left,20,527,302,456,332,pedpy
22,count_zone_only,416,431,20.13,3412.5164,15,0.626,5455.502,Right,12,199,344,214,337,pedpy
22,main_polygon,424,461,52.5,8899.2778,37,1.543,5767.721,Right,34,215,342,251,339,pedpy
4,count_zone_only,440,469,70.2,11898.7811,29,1.209,9839.107,Right,30,545,155,602,132,pedpy
24,main_polygon,474,500,116.23,19701.5606,26,1.084,18170.985,Right,25,273,307,307,319,pedpy
